Fecha;GDP_per_c‡pita
1922;2778.025142
1923;2897.34952
1924;3127.01283
1925;3155.437756
1926;3409.287635
1927;3433.174802
1928;3574.062422
1929;3890.830843
1930;3438.710198
1931;3188.719874
1932;3068.624875
1933;3299.523476
1934;3634.689633
1935;3892.764268
1936;4021.541882
1937;4048.079027
1938;4078.004095
1939;4089.699258
1940;4130.56479
1941;4114.866047
1942;3960.805013
1943;3997.628784
1944;4250.256278
1945;4376.414368
1946;4575.513574
1947;4642.20681
1948;4734.945508
1949;5031.953023
1950;5261.366616
1951;5603.533142
1952;5783.288937
1953;5961.176477
1954;6117.243259
1955;6306.152422
1956;6427.600744
1957;6672.132372
1958;6423.662095
1959;6446.444622
1960;6889.017539
1961;7188.913266
1962;7687.507921
1963;7793.574614
1964;8069.848475
1965;8285.22712
1966;8719.477883
1967;8806.204465
1968;8578.124392
1969;8637.397845
1970;8685.273901
1971;8837.096063
1972;8896.504993
1973;9200.250869
1974;9795.485909
1975;9947.937785
1976;9829.237075
1977;9609.067988
1978;9116.674137
1979;9251.344829
1980;9559.489794
1981;9845.496701
1982;9588.63716
1983;8388.356683
1984;8489.785851
1985;8467.719904
1986;9057.83623
1987;9718.221527
1988;8608.959934
1989;7388.671285
1990;6876.11496
1991;6888.67635
1992;6718.502773
1993;6937.04923
1994;7647.082433
1995;8065.802484
1996;8141.584201
1997;8511.655723
1998;8330.048981
1999;8317.76084
2000;8420.063539
2001;8369.205522
2002;8732.630597
2003;9011.041879
2004;9376.143724
2005;9882.681333
2006;10545.9148
2007;11368.01095
2008;12327.3998
2009;12381.57101
2010;13316.21412
2011;14054.51688
2012;14811.13594
2013;15556.03482
2014;15778.68273
2015;16102.5886
2016;16486.99294
2017;16601.50878
2018;16940.07977
2019;17011.55256
2020;14918.70826
2021;16687.72623
